 SPAM [BAK::ObjectIndex] ItmIndex:0 Object: {  fl: 0 imgIndex: 0 lvl: 0 val: 0 swing (0, 0) thrust (0, 0) size: 0 None Unspecified Cat: (0)[] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:1 Object: { Crystal Staff fl: 1000 imgIndex: 1 lvl: 1 val: 0 swing (5, -5) thrust (12, 10) size: 4 Human Staff Cat: (800)[Staff] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:2 Object: { Lightning Staff fl: 2080 imgIndex: 2 lvl: 1 val: 10000 swing (7, 10) thrust (0, 20) size: 4 Human Staff Cat: (800)[Staff] useSound: 0 times: 0 stackSize: 40 defaultStackSize: 40 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:3 Object: { Wooden Staff fl: 0 imgIndex: 3 lvl: 1 val: 50 swing (3, 0) thrust (-7, 15) size: 4 Human Staff Cat: (800)[Staff] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:4 Object: { Staff of Macros fl: 2080 imgIndex: 4 lvl: 8 val: 20000 swing (25, 15) thrust (10, 25) size: 4 Human Staff Cat: (800)[Staff] useSound: 0 times: 0 stackSize: 50 defaultStackSize: 50 eff (0, 0 ) potionPower: 0 altEff: 0 mod (80, 20) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:5 Object: { Amulet of the Upright Man fl: 0 imgIndex: 5 lvl: 1 val: 2500 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (2000, 15) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:6 Object: { Ring of Prandur fl: 2080 imgIndex: 6 lvl: 1 val: 500 swing (0, 0) thrust (0, 0) size: 1 None Light Cat: (400)[UsableMagicalItem] useSound: 58 times: 0 stackSize: 10 defaultStackSize: 10 eff (18, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:7 Object: { Brass Spyglass fl: 102 imgIndex: 7 lvl: 3 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Other Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:8 Object: { Cup of Rlnn Skr fl: 180 imgIndex: 8 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Other Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:9 Object: { Eliaem's Heart fl: 20c0 imgIndex: 9 lvl: 1 val: 10000 swing (0, 0) thrust (0, 0) size: 1 None Ingredient Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 6 defaultStackSize: 6 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:10 Object: { Glory Hand fl: 40 imgIndex: 10 lvl: 1 val: 1000 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:11 Object: { Horn of Algon Kokoon fl: 20c0 imgIndex: 11 lvl: 1 val: 10000 swing (0, 0) thrust (0, 0) size: 1 None Ingredient Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 12 defaultStackSize: 6 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:12 Object: { Idol of Lassur fl: 2040 imgIndex: 12 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Ingredient Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 8 defaultStackSize: 8 eff (0, 0 ) potionPower: 0 altEff: 0 mod (fff0, -20) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:13 Object: { Infinity Pool fl: 20c0 imgIndex: 13 lvl: 1 val: 6000 swing (0, 0) thrust (0, 0) size: 1 None Ingredient Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 10 defaultStackSize: 10 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:14 Object: { Raw Manna fl: 8880 imgIndex: 14 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Other Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 100 defaultStackSize: 20 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:15 Object: { Roric's Seal fl: 20c0 imgIndex: 15 lvl: 1 val: 0 swing (0, 0) thrust (0, 0) size: 1 None Ingredient Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 10 defaultStackSize: 10 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:16 Object: { Shell fl: 0 imgIndex: 16 lvl: 2 val: 100 swing (0, 0) thrust (0, 0) size: 1 None Other Cat: (0)[] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:17 Object: { Wyvern's Egg fl: 0 imgIndex: 17 lvl: 1 val: 300 swing (0, 0) thrust (0, 0) size: 1 None Unspecified Cat: (400)[UsableMagicalItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:18 Object: { Broadsword fl: 1008 imgIndex: 18 lvl: 1 val: 120 swing (7, -5) thrust (0, 10) size: 2 Human Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 100 df1: 6 minCond: 10}
 SPAM [BAK::ObjectIndex] ItmIndex:19 Object: { Galon 'Griefmaker' fl: 1008 imgIndex: 19 lvl: 1 val: 3500 swing (42, 5) thrust (29, 15) size: 2 Elf Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 50 df1: 3 minCond: 50}
 SPAM [BAK::ObjectIndex] ItmIndex:20 Object: { Goblin Sticker fl: 1008 imgIndex: 20 lvl: 1 val: 3000 swing (29, 0) thrust (15, 10) size: 2 Elf Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 60 df1: 3 minCond: 40}
 SPAM [BAK::ObjectIndex] ItmIndex:21 Object: { Greatsword fl: 1008 imgIndex: 21 lvl: 1 val: 6000 swing (52, 0) thrust (36, 10) size: 2 Elf Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 40 df1: 3 minCond: 60}
 SPAM [BAK::ObjectIndex] ItmIndex:22 Object: { Guarda Revanche fl: 1008 imgIndex: 22 lvl: 1 val: 20000 swing (140, 30) thrust (90, 45) size: 2 Elf Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 1 minCond: 100}
 SPAM [BAK::ObjectIndex] ItmIndex:23 Object: { Exotic sword fl: 0 imgIndex: 23 lvl: 3 val: 0 swing (0, 0) thrust (0, 0) size: 2 Elf Unspecified Cat: (20)[QuestItem] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 0 df1: 0 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:24 Object: { Keshian Tapir fl: 1008 imgIndex: 24 lvl: 1 val: 3750 swing (45, -5) thrust (20, 10) size: 2 Human Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 60 df1: 2 minCond: 30}
 SPAM [BAK::ObjectIndex] ItmIndex:25 Object: { Moredhel Lamprey fl: 1008 imgIndex: 25 lvl: 1 val: 500 swing (15, -5) thrust (3, 5) size: 2 Elf Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 80 df1: 5 minCond: 20}
 SPAM [BAK::ObjectIndex] ItmIndex:26 Object: { Rapier fl: 1008 imgIndex: 26 lvl: 1 val: 2500 swing (10, -5) thrust (25, 20) size: 2 Elf Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 90 df1: 6 minCond: 10}
 SPAM [BAK::ObjectIndex] ItmIndex:27 Object: { Sword of Kinnur fl: 1008 imgIndex: 27 lvl: 1 val: 3500 swing (33, 0) thrust (25, 15) size: 2 Dwarf Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 50 df1: 5 minCond: 30}
 SPAM [BAK::ObjectIndex] ItmIndex:28 Object: { Sword of Lims-Kragma fl: 1008 imgIndex: 28 lvl: 1 val: 10000 swing (71, 0) thrust (49, 10) size: 2 Human Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 30 df1: 3 minCond: 50}
 SPAM [BAK::ObjectIndex] ItmIndex:29 Object: { Two-Handed Broadsword fl: 1008 imgIndex: 29 lvl: 1 val: 1500 swing (21, 0) thrust (8, 10) size: 2 Human Sword Cat: (80)[Sword] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 70 df1: 5 minCond: 25}
 SPAM [BAK::ObjectIndex] ItmIndex:30 Object: { Light Crossbow fl: 1008 imgIndex: 30 lvl: 1 val: 500 swing (7, 0) thrust (0, 0) size: 2 Human Crossbow Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 100 df1: 9 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:31 Object: { Medium Crossbow fl: 1008 imgIndex: 31 lvl: 3 val: 1250 swing (15, 5) thrust (0, 0) size: 2 Human Crossbow Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 70 df1: 6 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:32 Object: { Bessy Mauler fl: 1008 imgIndex: 32 lvl: 5 val: 10000 swing (75, -10) thrust (0, 0) size: 2 Human Crossbow Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 30 df1: 4 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:33 Object: { Tsurani Light Crossbow fl: 1008 imgIndex: 33 lvl: 1 val: 3000 swing (20, -5) thrust (0, 0) size: 2 Tsurani Crossbow Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 80 df1: 7 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:34 Object: { Tsurani Heavy Crossbow fl: 1008 imgIndex: 34 lvl: 1 val: 5000 swing (40, 0) thrust (0, 0) size: 2 Tsurani Crossbow Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 50 df1: 7 minCond: 0}
 SPAM [BAK::ObjectIndex] ItmIndex:35 Object: { Elven Crossbow fl: 1008 imgIndex: 35 lvl: 1 val: 7250 swing (25, 25) thrust (0, 0) size: 2 Elf Crossbow Cat: (100)[CrossbowRelated] useSound: 0 times: 0 stackSize: 0 defaultStackSize: 0 eff (0, 0 ) potionPower: 0 altEff: 0 mod (0, 0) df0: 45 df1: 6 minCond: 0}
